bug_id,url,status,pass,opt_level,language,reproduces_llvm21,ub_verdict,confidence,version_bisect,pass_bisect,culprit_pass,instr_detected,check_type,healed,heal_strategy,origin
115149,https://github.com/llvm/llvm-project/issues/115149,Closed,InstCombine/GEP,-O2,c,yes,compiler_bug,100,all_fail,bisected,DSEPass@196,n/a,n/a,yes,function_optnone,llvm
115458,https://github.com/llvm/llvm-project/issues/115458,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
122496,https://github.com/llvm/llvm-project/issues/122496,Closed,LoopVectorize,-O2,c,no(fixed),compiler_bug,100,all_fail,bisected,LoopVectorizePass@340,n/a,n/a,yes,function_optnone,llvm
129244,https://github.com/llvm/llvm-project/issues/129244,Closed,SLPVectorizer,-O2,c,no(fixed),compiler_bug,100,all_fail,bisected,SLPVectorizerPass@384,n/a,n/a,yes,function_optnone,llvm
31000,https://github.com/llvm/llvm-project/issues/31000,Closed,Unknown,-O2,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
37706,https://github.com/llvm/llvm-project/issues/37706,Closed,Polly+NewGVN,-O3,c,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
59836,https://github.com/llvm/llvm-project/issues/59836,Closed,InstCombine,-O2,ir_only,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
85536,https://github.com/llvm/llvm-project/issues/85536,Closed,InstCombine,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@445,n/a,n/a,yes,function_optnone,llvm
113519,https://github.com/llvm/llvm-project/issues/113519,Closed,Unknown,-O2,cpp,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
70547,https://github.com/llvm/llvm-project/issues/70547,Closed,CaptureTracking,-O2,c,no(fixed),compiler_bug,100,all_fail,bisected,SimplifyCFGPass@274,n/a,n/a,yes,function_optnone,llvm
98753,https://github.com/llvm/llvm-project/issues/98753,Closed,InstSimplify,-O1,cpp,no(fixed),compiler_bug,80,all_pass,n/a,n/a,n/a,n/a,n/a,n/a,llvm
108698,https://github.com/llvm/llvm-project/issues/108698,Closed,VectorCombine,-O2,c,no(fixed),compiler_bug,80,all_pass,no_repro,n/a,n/a,n/a,n/a,n/a,llvm
61312,https://github.com/llvm/llvm-project/issues/61312,Closed,InstSimplify,-O1,c,no(fixed),compiler_bug,80,all_pass,no_repro,n/a,n/a,n/a,n/a,n/a,llvm
140481,https://github.com/llvm/llvm-project/issues/140481,Closed,ConstraintElim,-O2,c,yes,compiler_bug,100,all_fail,bisected,ConstraintEliminationPass@32,n/a,n/a,yes,function_optnone,llvm
62175,https://github.com/llvm/llvm-project/issues/62175,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,80,all_pass,no_repro,n/a,n/a,n/a,n/a,n/a,llvm
62992,https://github.com/llvm/llvm-project/issues/62992,Closed,IndVarSimplify,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,IndVarSimplifyPass@45,n/a,n/a,yes,function_optnone,llvm
181103,https://github.com/llvm/llvm-project/issues/181103,OPEN,Attributor/LICM,-O3+attrib,c,yes,compiler_bug,80,all_fail,bisected,LICMPass@203,prevention,n/a,yes,function_optnone,llvm
phantom,n/a,Synthetic,InstCombine,-O2,c,yes,user_ub,30,n/a,bisected,InstCombine,yes,overflow,n/a,n/a,llvm
164617,https://github.com/llvm/llvm-project/issues/164617,Closed,SROA/fabs,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,LoopFullUnrollPass@48,n/a,n/a,yes,pass_bypass,llvm
166496,https://github.com/llvm/llvm-project/issues/166496,Closed,IndVarSimplify,-O1,c,yes,compiler_bug,100,all_fail,bisected,IndVarSimplifyPass@79,n/a,n/a,yes,function_optnone,llvm
116483,https://github.com/llvm/llvm-project/issues/116483,Closed,IndVarSimplify,-O3,c,yes,compiler_bug,100,all_fail,bisected,IndVarSimplifyPass@265,n/a,n/a,yes,function_optnone,llvm
87534,https://github.com/llvm/llvm-project/issues/87534,Closed,Inliner,-O1,c,yes,compiler_bug,90,all_fail,bisected,InlinerPass@49,n/a,n/a,yes,pass_bypass,llvm
79743,https://github.com/llvm/llvm-project/issues/79743,Closed,SLPVectorizer,-O2,c,yes,compiler_bug,100,all_fail,bisected,SLPVectorizerPass@374,n/a,n/a,yes,function_optnone,llvm
124387,https://github.com/llvm/llvm-project/issues/124387,Closed,InstCombine/fshl,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@251,n/a,n/a,yes,function_optnone,llvm
121110,https://github.com/llvm/llvm-project/issues/121110,Closed,VectorCombine,-Os,c,no(fixed),compiler_bug,90,all_fail,bisected,VectorCombinePass@235,n/a,n/a,yes,function_optnone,llvm
129181,https://github.com/llvm/llvm-project/issues/129181,Closed,SelectionDAG,-O2,c,yes,compiler_bug,100,all_fail,bisected,LoopFullUnrollPass@56,n/a,n/a,yes,pass_bypass,llvm
69097,https://github.com/llvm/llvm-project/issues/69097,Closed,SCEV/LV,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@184,n/a,n/a,yes,function_optnone,llvm
62660,https://github.com/llvm/llvm-project/issues/62660,Closed,LSR,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,Loop Strength Reduction@192,n/a,n/a,yes,function_optnone,llvm
58340,https://github.com/llvm/llvm-project/issues/58340,Closed,IndVarSimplify,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,IndVarSimplifyPass@145,n/a,n/a,yes,function_optnone,llvm
54112,https://github.com/llvm/llvm-project/issues/54112,Closed,LoopSimplifyCFG,-Os,c,no(fixed),compiler_bug,90,all_fail,bisected,LoopSimplifyCFGPass@69,n/a,n/a,yes,function_optnone,llvm
57899,https://github.com/llvm/llvm-project/issues/57899,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@123,n/a,n/a,yes,function_optnone,llvm
64333,https://github.com/llvm/llvm-project/issues/64333,Closed,SCEVExpander,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@443,n/a,n/a,yes,function_optnone,llvm
64345,https://github.com/llvm/llvm-project/issues/64345,Closed,JumpThreading,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,JumpThreadingPass@57,n/a,n/a,yes,function_optnone,llvm
82243,https://github.com/llvm/llvm-project/issues/82243,Closed,IndVars,-Os,c,no(fixed),compiler_bug,90,all_fail,bisected,GVNPass@160,n/a,n/a,yes,function_optnone,llvm
64060,https://github.com/llvm/llvm-project/issues/64060,Closed,EarlyMachineLICM,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,Early Machine Loop Invariant Code Motion@411,n/a,n/a,yes,function_optnone,llvm
60944,https://github.com/llvm/llvm-project/issues/60944,Closed,SCEV,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,IndVarSimplifyPass@124,n/a,n/a,yes,function_optnone,llvm
63327,https://github.com/llvm/llvm-project/issues/63327,Closed,InstCombine,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@14,n/a,n/a,yes,function_optnone,llvm
synthetic-dse,n/a,Synthetic,DSE,-O2,c,no,pattern_demo,100,n/a,n/a,DSEPass,yes,store_load_consistency,n/a,n/a,llvm
synthetic-simplifycfg,n/a,Synthetic,SimplifyCFG,-O1,c,no,pattern_demo,100,n/a,n/a,SimplifyCFGPass,yes,control_flow,n/a,n/a,llvm
synthetic-loopvec,n/a,Synthetic,LoopVectorize,-O2,c,no,pattern_demo,100,n/a,n/a,LoopVectorizePass,yes,loop_bounds,n/a,n/a,llvm
synthetic-tbaa,n/a,Synthetic,TBAA/InstCombine,-O2,c,no,pattern_demo,100,n/a,n/a,InstCombinePass,yes,value_propagation,n/a,n/a,llvm
79861,https://github.com/llvm/llvm-project/issues/79861,Closed,IndVarSimplify,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,IndVarSimplifyPass@210,n/a,n/a,yes,function_optnone,llvm
105785,https://github.com/llvm/llvm-project/issues/105785,Closed,ConstraintElim,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,ConstraintEliminationPass@88,n/a,n/a,yes,function_optnone,alive2
64669,https://github.com/llvm/llvm-project/issues/64669,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@14,n/a,n/a,yes,function_optnone,llvm
64259,https://github.com/llvm/llvm-project/issues/64259,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,80,all_fail,no_repro,n/a,n/a,n/a,n/a,n/a,llvm
71330,https://github.com/llvm/llvm-project/issues/71330,Closed,InstCombine,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@275,n/a,n/a,yes,function_optnone,llvm
70509,https://github.com/llvm/llvm-project/issues/70509,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@175,n/a,n/a,yes,function_optnone,llvm
75298,https://github.com/llvm/llvm-project/issues/75298,Closed,LoopVectorize,-Os,c,no(fixed),compiler_bug,90,all_fail,bisected,LoopVectorizePass@81,n/a,n/a,yes,function_optnone,llvm
68260,https://github.com/llvm/llvm-project/issues/68260,Closed,SCEV/IndVarSimplify,-O2,c,no(fixed),compiler_bug,90,all_fail,bisected,IndVarSimplifyPass@92,n/a,n/a,yes,function_optnone,llvm
63645,https://github.com/llvm/llvm-project/issues/63645,Closed,X86_SDAG,-O3,c,no(fixed),compiler_bug,90,all_fail,bisected,X86_DAG_to_DAG_Instruction_Selection@527,n/a,n/a,yes,function_optnone,llvm
76162,https://github.com/llvm/llvm-project/issues/76162,Closed,InstCombine,-O1,c,no(fixed),compiler_bug,90,all_fail,bisected,InstCombinePass@21,n/a,n/a,yes,function_optnone,llvm
